{'01044099999': -10.0, '02293099999': -27.6}
         387298 function calls (381502 primitive calls) in 10.227 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    188/1    0.001    0.000   10.227   10.227 {built-in method builtins.exec}
        1    0.000    0.000   10.227   10.227 load.py:1(<module>)
        1    0.000    0.000    9.749    9.749 load.py:26(download_all_data)
        2    0.000    0.000    9.749    4.875 load.py:17(download_data)
        2    0.000    0.000    9.693    4.847 api.py:64(get)
        2    0.000    0.000    9.693    4.847 api.py:16(request)
        2    0.000    0.000    9.692    4.846 sessions.py:457(request)
        2    0.000    0.000    9.687    4.844 sessions.py:613(send)
     2528    0.004    0.000    8.648    0.003 socket.py:655(readinto)
     2528    0.005    0.000    8.641    0.003 ssl.py:1230(recv_into)
     2528    0.003    0.000    8.635    0.003 ssl.py:1090(read)
     2528    8.632    0.003    8.632    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        6    0.000    0.000    8.197    1.366 models.py:825(content)
       22    0.004    0.000    8.197    0.373 {method 'join' of 'bytes' objects}
     1171    0.001    0.000    8.193    0.007 models.py:756(generate)
     1171    0.002    0.000    8.193    0.007 response.py:555(stream)
     1169    0.010    0.000    8.190    0.007 response.py:481(read)
     1169    0.006    0.000    8.161    0.007 client.py:448(read)
     1169    0.003    0.000    8.151    0.007 client.py:480(readinto)
     1169    0.005    0.000    8.148    0.007 {method 'readinto' of '_io.BufferedReader' objects}
        2    0.000    0.000    1.490    0.745 adapters.py:395(send)
        2    0.000    0.000    1.489    0.744 connectionpool.py:522(urlopen)
        2    0.000    0.000    1.488    0.744 connectionpool.py:361(_make_request)
        2    0.000    0.000    0.981    0.491 connectionpool.py:1032(_validate_conn)
        2    0.000    0.000    0.981    0.491 connection.py:356(connect)
        2    0.000    0.000    0.559    0.280 connection.py:161(_new_conn)
        2    0.000    0.000    0.559    0.280 connection.py:37(create_connection)
        2    0.000    0.000    0.506    0.253 client.py:1304(getresponse)
        2    0.000    0.000    0.506    0.253 client.py:309(begin)
        2    0.000    0.000    0.505    0.253 client.py:276(_read_status)
       26    0.000    0.000    0.505    0.019 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.420    0.210 ssl_.py:355(ssl_wrap_socket)
        2    0.000    0.000    0.413    0.207 ssl_.py:481(_ssl_wrap_socket_impl)
        2    0.000    0.000    0.413    0.207 ssl.py:494(wrap_socket)
        2    0.000    0.000    0.413    0.207 ssl.py:983(_create)
        2    0.000    0.000    0.413    0.207 ssl.py:1302(do_handshake)
        2    0.413    0.207    0.413    0.207 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.401    0.200    0.401    0.200 {method 'connect' of '_socket.socket' objects}
        1    0.009    0.009    0.313    0.313 load.py:44(get_all_temperatures)
    33650    0.283    0.000    0.302    0.000 load.py:31(get_file_temperatures)
    215/4    0.001    0.000    0.166    0.042 <frozen importlib._bootstrap>:986(_find_and_load)
    214/4    0.001    0.000    0.166    0.042 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    204/4    0.001    0.000    0.160    0.040 <frozen importlib._bootstrap>:650(_load_unlocked)
    173/4    0.000    0.000    0.159    0.040 <frozen importlib._bootstrap_external>:837(exec_module)
    249/4    0.000    0.000    0.159    0.040 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        2    0.000    0.000    0.158    0.079 socket.py:901(getaddrinfo)
        2    0.158    0.079    0.158    0.079 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.154    0.154 __init__.py:8(<module>)
        9    0.000    0.000    0.124    0.014 __init__.py:1(<module>)
  212/177    0.001    0.000    0.102    0.001 <frozen importlib._bootstrap>:890(_find_spec)
    32/13    0.000    0.000    0.092    0.007 {built-in method builtins.__import__}
      209    0.000    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      209    0.001    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
