{'01044099999': -10.0, '02293099999': -27.6}
         313561 function calls (307829 primitive calls) in 0.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    186/1    0.001    0.000    0.470    0.470 {built-in method builtins.exec}
        1    0.000    0.000    0.470    0.470 load_cache.py:1(<module>)
        1    0.008    0.008    0.308    0.308 load_cache.py:47(get_all_temperatures)
    33650    0.280    0.000    0.298    0.000 load_cache.py:34(get_file_temperatures)
    213/3    0.001    0.000    0.161    0.054 <frozen importlib._bootstrap>:986(_find_and_load)
    212/3    0.001    0.000    0.161    0.054 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    202/3    0.001    0.000    0.156    0.052 <frozen importlib._bootstrap>:650(_load_unlocked)
    171/3    0.000    0.000    0.155    0.052 <frozen importlib._bootstrap_external>:837(exec_module)
    247/3    0.000    0.000    0.155    0.052 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.151    0.151 __init__.py:8(<module>)
        9    0.000    0.000    0.123    0.014 __init__.py:1(<module>)
  210/175    0.001    0.000    0.098    0.001 <frozen importlib._bootstrap>:890(_find_spec)
    31/12    0.000    0.000    0.091    0.008 {built-in method builtins.__import__}
      207    0.000    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      207    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      427    0.003    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      876    0.069    0.000    0.069    0.000 {built-in method posix.stat}
      874    0.000    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
    72/46    0.000    0.000    0.066    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    0.038    0.038 exceptions.py:1(<module>)
 1971/785    0.000    0.000    0.036    0.000 {built-in method builtins.hasattr}
        7    0.000    0.000    0.036    0.005 six.py:85(_import_module)
        4    0.000    0.000    0.036    0.009 six.py:117(_resolve)
        1    0.000    0.000    0.035    0.035 connectionpool.py:1(<module>)
        1    0.000    0.000    0.035    0.035 exceptions.py:3(<module>)
        1    0.000    0.000    0.034    0.034 compat.py:3(<module>)
        7    0.000    0.000    0.034    0.005 <frozen importlib._bootstrap>:406(spec_from_loader)
       12    0.000    0.000    0.034    0.003 six.py:190(find_spec)
        4    0.000    0.000    0.034    0.009 six.py:215(is_package)
        1    0.000    0.000    0.034    0.034 six.py:120(__getattr__)
        1    0.000    0.000    0.032    0.032 client.py:1(<module>)
        2    0.000    0.000    0.029    0.015 connection.py:1(<module>)
       77    0.000    0.000    0.027    0.000 re.py:289(_compile)
       76    0.000    0.000    0.027    0.000 re.py:250(compile)
       72    0.000    0.000    0.026    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.022    0.022 parser.py:5(<module>)
        1    0.000    0.000    0.022    0.022 feedparser.py:5(<module>)
        1    0.000    0.000    0.021    0.021 _policybase.py:1(<module>)
        1    0.000    0.000    0.020    0.020 ssl_.py:1(<module>)
      171    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:909(get_code)
        3    0.000    0.000    0.017    0.006 request.py:1(<module>)
       72    0.000    0.000    0.016    0.000 sre_parse.py:937(parse)
   339/72    0.001    0.000    0.016    0.000 sre_parse.py:435(_parse_sub)
   456/77    0.006    0.000    0.016    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.015    0.015 utils.py:5(<module>)
        1    0.000    0.000    0.014    0.014 url.py:1(<module>)
      507    0.005    0.000    0.013    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.011    0.011 utils.py:3(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:17(<module>)
      171    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       72    0.000    0.000    0.010    0.000 sre_compile.py:598(_code)
    67530    0.009    0.000    0.009    0.000 {method 'index' of 'list' objects}
      171    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.009    0.004 __init__.py:2(<module>)
        1    0.000    0.000    0.009    0.009 tempfile.py:1(<module>)
  202/201    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.000    0.000    0.008    0.008 api.py:1(<module>)
        1    0.000    0.000    0.008    0.008 certs.py:4(<module>)
   821/72    0.003    0.000    0.008    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:19(<module>)
        1    0.000    0.000    0.007    0.007 universaldetector.py:28(<module>)
        1    0.000    0.000    0.007    0.007 cookiejar.py:1(<module>)
        1    0.000    0.000    0.007    0.007 core.py:3(<module>)
        1    0.000    0.000    0.007    0.007 resources.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cd.py:1(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:4(<module>)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:4(<module>)
        1    0.000    0.000    0.005    0.005 header.py:5(<module>)
    24/23    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
    24/23    0.003    0.000    0.004    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.004    0.004 hmac.py:1(<module>)
     1463    0.002    0.000    0.004    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.004    0.004 ntpath.py:2(<module>)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
     2229    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      171    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
        1    0.000    0.000    0.003    0.003 md.py:1(<module>)
      414    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
    33880    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
      202    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       10    0.000    0.000    0.003    0.000 enum.py:483(_convert_)
        1    0.000    0.000    0.003    0.003 mbcsgroupprober.py:30(<module>)
        1    0.000    0.000    0.003    0.003 utils.py:1(<module>)
       17    0.001    0.000    0.003    0.000 enum.py:157(__new__)
    45739    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     6427    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.003    0.003 ssl_match_hostname.py:1(<module>)
        1    0.000    0.000    0.003    0.003 linecache.py:1(<module>)
      179    0.000    0.000    0.003    0.000 enum.py:313(__call__)
      342    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
        1    0.000    0.000    0.003    0.003 datetime.py:1(<module>)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
        1    0.000    0.000    0.002    0.002 six.py:21(<module>)
        1    0.000    0.000    0.002    0.002 sbcsgroupprober.py:29(<module>)
        1    0.000    0.000    0.002    0.002 models.py:3(<module>)
       10    0.000    0.000    0.002    0.000 enum.py:430(_create_)
        1    0.000    0.000    0.002    0.002 filepost.py:1(<module>)
        1    0.000    0.000    0.002    0.002 api.py:3(<module>)
        5    0.000    0.000    0.002    0.000 six.py:95(__get__)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:3(<module>)
     8261    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.002    0.002 hashlib.py:5(<module>)
     1463    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
       14    0.000    0.000    0.002    0.000 hashlib.py:123(__get_openssl_constructor)
      366    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
        1    0.000    0.000    0.002    0.002 fields.py:1(<module>)
        8    0.000    0.000    0.002    0.000 hashlib.py:79(__get_builtin_constructor)
     5825    0.001    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      507    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        1    0.000    0.000    0.002    0.002 sessions.py:3(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        1    0.000    0.000    0.002    0.002 brotli.py:2(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sjisprober.py:28(<module>)
      195    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      171    0.002    0.000    0.002    0.000 {built-in method io.open_code}
       72    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
        1    0.000    0.000    0.002    0.002 message.py:5(<module>)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
        1    0.000    0.000    0.002    0.002 cookies.py:39(<module>)
        1    0.000    0.000    0.002    0.002 adapters.py:3(<module>)
       16    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 copy.py:1(<module>)
      260    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
  900/154    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
     2229    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.001    0.001 socks.py:2(<module>)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
       13    0.001    0.000    0.001    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.001    0.001 typing.py:1(<module>)
      195    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
        1    0.000    0.000    0.001    0.001 idna.py:3(<module>)
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
11821/10810    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 csv.py:2(<module>)
        1    0.000    0.000    0.001    0.001 base64mime.py:5(<module>)
        2    0.001    0.001    0.001    0.001 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 chardistribution.py:28(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 struct.py:3(<module>)
        2    0.000    0.000    0.001    0.001 queue.py:1(<module>)
     3556    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      345    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
      195    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
    11464    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 ipaddress.py:4(<module>)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
